Site name: Stevenage ,,,,
Site latitude: 51.8886 ,,,,
Site longitude: -0.25516 ,,,,
Frequency (MHz): 449.425 ,,,,
Tx antenna height (m): 17 ,,,,
Tx amplifier power (dBm): 50.6 ,,,,
Tx cable loss (dB): 0.9 ,,,,
Tx antenna gain (dBi): 0.9 ,,,,
Tx eirp (dBm): 55.1 ,,,,
Rx antenna height (m): 1.5 ,,,,
Rx antenna gain (dBi): -8 ,,,,
Rx cable loss (dB): 0.2 ,,,,
Rx splitter loss (dB): 6.1 ,,,,
Rx LNA gain (dB): 0 ,,,,
Rx band pass filter loss (dB): 0.5 ,,,,
System gain (dB): -14.8 ,,,,
System noise floor (dBm): -122 ,,,,
Dynamic range (dB): 162.3 ,,,,
Averaging samples: 50 ,,,,
Averaging distance (m): 26.701 ,,,,
Date (dd.mm.yyy), Time (hh:mm:ss), Rx Latitude (deg), Rx Longitude (deg), Local mean measurement (dBm) 
08.12.2015, 12:51:09,51.9035,-0.2594,-77.61
08.12.2015, 12:51:10,51.9037,-0.2592,-77.99
08.12.2015, 12:51:12,51.9039,-0.259,-78.92
08.12.2015, 12:51:13,51.9041,-0.2588,-81.78
08.12.2015, 12:51:15,51.9043,-0.2585,-82.81
08.12.2015, 12:51:17,51.9044,-0.2582,-82.99
08.12.2015, 12:51:19,51.9046,-0.258,-88.72
08.12.2015, 12:51:21,51.9048,-0.2577,-90.71
08.12.2015, 12:51:23,51.9049,-0.2574,-92.82
08.12.2015, 12:51:25,51.9051,-0.2572,-91.04
08.12.2015, 12:51:27,51.9052,-0.2569,-89.65
08.12.2015, 12:51:28,51.9054,-0.2566,-90.44
08.12.2015, 12:51:30,51.9055,-0.2564,-86.15
08.12.2015, 12:51:32,51.9057,-0.2561,-88.56
08.12.2015, 12:51:33,51.9059,-0.2559,-86.76
08.12.2015, 12:51:35,51.906,-0.2556,-85.76
08.12.2015, 12:51:37,51.9062,-0.2554,-84.68
08.12.2015, 12:51:38,51.9064,-0.2551,-87.7
08.12.2015, 12:51:40,51.9066,-0.2549,-84.77
08.12.2015, 12:51:42,51.9067,-0.2546,-88.29
08.12.2015, 12:51:43,51.9069,-0.2544,-92.18
08.12.2015, 12:51:45,51.9071,-0.2542,-87.26
08.12.2015, 12:51:47,51.9073,-0.2541,-86.85
08.12.2015, 12:51:48,51.9076,-0.2539,-84.12
08.12.2015, 12:51:50,51.9078,-0.2537,-84.75
08.12.2015, 12:51:52,51.908,-0.2535,-82.95
08.12.2015, 12:51:54,51.9082,-0.2533,-85.26
08.12.2015, 12:51:56,51.9084,-0.253,-82.68
08.12.2015, 12:52:02,51.9086,-0.2526,-82.66
08.12.2015, 12:52:09,51.9088,-0.2527,-80.49
08.12.2015, 12:52:12,51.9089,-0.2529,-81.21
08.12.2015, 12:52:14,51.909,-0.2532,-83.33
08.12.2015, 12:52:16,51.9092,-0.2534,-84.42
08.12.2015, 12:52:18,51.9093,-0.2537,-85.05
08.12.2015, 12:52:20,51.9094,-0.254,-86.36
08.12.2015, 12:52:21,51.9096,-0.2543,-83.94
08.12.2015, 12:52:22,51.9097,-0.2546,-86.21
08.12.2015, 12:52:24,51.9098,-0.2548,-88.38
08.12.2015, 12:52:25,51.91,-0.2552,-88.23
08.12.2015, 12:52:27,51.9101,-0.2554,-87.52
08.12.2015, 12:52:28,51.9103,-0.2557,-89.64
08.12.2015, 12:52:30,51.9105,-0.2559,-86.35
08.12.2015, 12:52:31,51.9107,-0.2562,-92.57
08.12.2015, 12:52:33,51.9109,-0.2564,-90.65
08.12.2015, 12:52:35,51.9111,-0.2565,-91.77
08.12.2015, 12:52:36,51.9114,-0.2565,-87.23
08.12.2015, 12:52:38,51.9116,-0.2565,-86.42
08.12.2015, 12:52:39,51.9118,-0.2565,-86.31
08.12.2015, 12:52:41,51.912,-0.2566,-84.78
08.12.2015, 12:52:42,51.9122,-0.2567,-82.41
08.12.2015, 12:52:43,51.9125,-0.2568,-82.18
08.12.2015, 12:52:45,51.9127,-0.257,-85.11
08.12.2015, 12:52:46,51.9128,-0.2572,-83.25
08.12.2015, 12:52:47,51.913,-0.2575,-82.72
08.12.2015, 12:52:49,51.9132,-0.2577,-84.46
08.12.2015, 12:52:50,51.9135,-0.2579,-87.22
08.12.2015, 12:52:52,51.9137,-0.2581,-85.12
08.12.2015, 12:52:53,51.9139,-0.2582,-90.18
08.12.2015, 12:52:54,51.9141,-0.2583,-88.75
08.12.2015, 12:52:56,51.9143,-0.2585,-86.6
08.12.2015, 12:52:57,51.9145,-0.2586,-88.39
08.12.2015, 12:52:58,51.9147,-0.2587,-88.38
08.12.2015, 12:53:00,51.9149,-0.2588,-88.2
08.12.2015, 12:53:01,51.9152,-0.259,-86.6
08.12.2015, 12:53:02,51.9154,-0.2591,-86.99
08.12.2015, 12:53:04,51.9156,-0.2591,-89.7
08.12.2015, 12:53:05,51.9158,-0.2591,-86.99
08.12.2015, 12:53:06,51.9161,-0.2592,-86.48
08.12.2015, 12:53:07,51.9163,-0.2592,-85.62
08.12.2015, 12:53:09,51.9165,-0.2592,-85.3
08.12.2015, 12:53:10,51.9168,-0.2593,-85.86
08.12.2015, 12:53:11,51.917,-0.2593,-85.98
08.12.2015, 12:53:12,51.9172,-0.2594,-84.78
08.12.2015, 12:53:14,51.9174,-0.2595,-82.71
08.12.2015, 12:53:15,51.9177,-0.2596,-84.49
08.12.2015, 12:53:16,51.9179,-0.2597,-82.33
08.12.2015, 12:53:18,51.9181,-0.2599,-80.08
08.12.2015, 12:53:19,51.9183,-0.26,-79.24
08.12.2015, 12:53:20,51.9185,-0.2601,-79.29
08.12.2015, 12:53:21,51.9188,-0.2602,-79.11
08.12.2015, 12:53:23,51.919,-0.2603,-79.08
08.12.2015, 12:53:24,51.9192,-0.2604,-78.67
08.12.2015, 12:53:25,51.9194,-0.2605,-77.74
08.12.2015, 12:53:27,51.9196,-0.2606,-81.75
08.12.2015, 12:53:28,51.9199,-0.2607,-80.86
08.12.2015, 12:53:29,51.9201,-0.2608,-80.52
08.12.2015, 12:53:30,51.9203,-0.2609,-82.34
08.12.2015, 12:53:32,51.9205,-0.261,-81.3
08.12.2015, 12:53:33,51.9208,-0.2611,-80.09
08.12.2015, 12:53:34,51.921,-0.2612,-84.61
08.12.2015, 12:53:35,51.9212,-0.2613,-83.88
08.12.2015, 12:53:37,51.9214,-0.2614,-86.6
08.12.2015, 12:53:38,51.9217,-0.2615,-84.93
08.12.2015, 12:53:39,51.9219,-0.2616,-86.87
08.12.2015, 12:53:41,51.9221,-0.2616,-88.11
08.12.2015, 12:53:42,51.9224,-0.2617,-85.76
08.12.2015, 12:53:43,51.9226,-0.2618,-86.43
08.12.2015, 12:53:45,51.9228,-0.2619,-87.06
08.12.2015, 12:53:46,51.923,-0.262,-87.62
08.12.2015, 12:53:47,51.9233,-0.2621,-87
08.12.2015, 12:53:49,51.9235,-0.2622,-87.04
08.12.2015, 12:53:50,51.9237,-0.2623,-89.94
08.12.2015, 12:53:52,51.9239,-0.2624,-89.27
