Site name: Merthyr ,,,,
Site latitude (deg): 51.7575 ,,,,
Site longitude (deg): -3.4494 ,,,,
Frequency (MHz): 915.95 ,,,,
Tx antenna height (m): 17 ,,,,
Adjusted e.i.r.p. (dBm): 47.3 ,,,,
Rx antenna height (m): 1.5 ,,,,
System noise floor (dBm): -124 ,,,,
Number of records: 78946 ,,,,
Date (dd.mm.yyyy), Time (hh:mm:ss), Rx Latitude (deg), Rx Longitude (deg), Local mean measurement (dBm) 
01.09.2017, 09:18:11,51.756912,-3.449412,-29.16
01.09.2017, 09:18:16,51.75683,-3.449304,-30.4
01.09.2017, 09:18:20,51.756739,-3.44922,-34.64
01.09.2017, 09:18:23,51.756639,-3.449196,-32.73
01.09.2017, 09:18:25,51.756563,-3.449321,-31.39
01.09.2017, 09:18:28,51.756512,-3.449494,-32.78
01.09.2017, 09:18:30,51.756449,-3.449692,-33.75
01.09.2017, 09:18:34,51.756351,-3.449788,-30.39
01.09.2017, 09:18:37,51.756269,-3.44971,-33.71
01.09.2017, 09:18:39,51.756199,-3.449571,-38.62
01.09.2017, 09:18:41,51.756142,-3.449405,-39.07
01.09.2017, 09:18:43,51.756104,-3.449248,-40.28
01.09.2017, 09:18:45,51.756069,-3.449082,-40.93
01.09.2017, 09:18:47,51.756044,-3.448907,-41.72
01.09.2017, 09:18:48,51.756028,-3.448728,-45.45
01.09.2017, 09:18:50,51.756018,-3.448555,-46.3
01.09.2017, 09:18:51,51.756008,-3.448366,-47.5
01.09.2017, 09:18:53,51.755995,-3.448196,-49.02
01.09.2017, 09:18:54,51.755975,-3.447991,-50.01
01.09.2017, 09:18:56,51.755966,-3.447813,-53.68
01.09.2017, 09:18:57,51.755956,-3.44761,-53.09
01.09.2017, 09:18:59,51.755942,-3.447435,-53.24
01.09.2017, 09:19:00,51.755927,-3.447244,-51.22
01.09.2017, 09:19:02,51.75591,-3.44707,-50.27
01.09.2017, 09:19:03,51.755895,-3.446889,-50.41
01.09.2017, 09:19:05,51.755882,-3.446713,-53
01.09.2017, 09:19:06,51.755871,-3.446556,-51.11
01.09.2017, 09:19:07,51.755854,-3.446364,-58.36
01.09.2017, 09:19:08,51.75584,-3.446166,-57.53
01.09.2017, 09:19:09,51.75583,-3.445979,-60.3
01.09.2017, 09:19:11,51.755828,-3.445805,-62.56
01.09.2017, 09:19:12,51.755833,-3.445647,-59.46
