Site name: Stevenage ,,,,
Site latitude: 51.8886 ,,,,
Site longitude: -0.25516 ,,,,
Frequency (MHz): 1802.5 ,,,,
Tx antenna height (m): 17 ,,,,
Tx amplifier power (dBm): 49.4 ,,,,
Tx cable loss (dB): 1.9 ,,,,
Tx antenna gain (dBi): 1.9 ,,,,
Tx eirp (dBm): 55.5 ,,,,
Rx antenna height (m): 1.5 ,,,,
Rx antenna gain (dBi): 0 ,,,,
Rx cable loss (dB): 0.3 ,,,,
Rx splitter loss (dB): 6.2 ,,,,
Rx LNA gain (dB): 0 ,,,,
Rx band pass filter loss (dB): 1 ,,,,
System gain (dB): -7.5 ,,,,
System noise floor (dBm): -124 ,,,,
Dynamic range (dB): 172 ,,,,
Averaging samples: 50 ,,,,
Averaging distance (m): 6.657 ,,,,
Date (dd.mm.yyy), Time (hh:mm:ss), Rx Latitude (deg), Rx Longitude (deg), Local mean measurement (dBm) 
04.12.2015, 13:15:42,51.8236,-0.2148,-124.53
04.12.2015, 13:15:46,51.8237,-0.2148,-124.92
04.12.2015, 13:15:48,51.8237,-0.2147,-124.69
04.12.2015, 13:15:50,51.8238,-0.2147,-125.02
04.12.2015, 13:15:53,51.8238,-0.2146,-124.62
04.12.2015, 13:15:59,51.8238,-0.2145,-124.59
04.12.2015, 13:16:03,51.8238,-0.2144,-124.59
04.12.2015, 13:16:05,51.8238,-0.2144,-124.8
04.12.2015, 13:16:06,51.8239,-0.2143,-124.74
04.12.2015, 13:16:07,51.8239,-0.2143,-124.81
04.12.2015, 13:16:09,51.824,-0.2142,-125.2
04.12.2015, 13:16:10,51.824,-0.2142,-124.6
04.12.2015, 13:16:10,51.8241,-0.2142,-124.52
04.12.2015, 13:16:11,51.8241,-0.2141,-124.54
04.12.2015, 13:16:12,51.8241,-0.2141,-124.61
04.12.2015, 13:16:13,51.8242,-0.214,-124.5
04.12.2015, 13:16:14,51.8243,-0.214,-124.59
04.12.2015, 13:16:15,51.8243,-0.214,-124.35
04.12.2015, 13:16:15,51.8244,-0.2139,-124.52
04.12.2015, 13:16:16,51.8244,-0.2139,-124.81
04.12.2015, 13:16:17,51.8245,-0.2139,-124.8
04.12.2015, 13:16:18,51.8245,-0.2138,-125.01
04.12.2015, 13:16:19,51.8246,-0.2138,-125.06
04.12.2015, 13:16:20,51.8247,-0.2137,-124.69
04.12.2015, 13:16:21,51.8247,-0.2137,-124.69
04.12.2015, 13:16:22,51.8248,-0.2136,-124.67
04.12.2015, 13:16:23,51.8248,-0.2136,-124.84
04.12.2015, 13:16:24,51.8249,-0.2136,-124.67
04.12.2015, 13:16:26,51.8249,-0.2135,-124.7
04.12.2015, 13:16:27,51.825,-0.2135,-124.54
04.12.2015, 13:16:28,51.825,-0.2135,-124.44
04.12.2015, 13:16:29,51.8251,-0.2134,-124.18
04.12.2015, 13:16:30,51.8252,-0.2134,-125.16
04.12.2015, 13:16:33,51.8252,-0.2134,-125
04.12.2015, 13:17:13,51.8253,-0.2133,-122.74
04.12.2015, 13:17:34,51.8253,-0.2133,-121.79
04.12.2015, 13:17:36,51.8253,-0.2133,-122.07
04.12.2015, 13:17:37,51.8254,-0.2133,-122.06
